"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.342335259E2,6.505975529E1,2.546661802E1,3.057970652E1,2.885401743E-1,2.855185137E2,7.530010779E0,5.189726562E0
1.352327472E2,6.505973887E1,2.546660666E1,3.028695384E1,3.124592649E-1,2.855184993E2,7.522579727E0,5.124225036E0
1.361911961E2,6.505972818E1,2.546658492E1,3.009073199E1,3.030367895E-1,2.855184764E2,7.580658619E0,5.059212326E0
1.371906630E2,6.505971435E1,2.546657667E1,2.926336329E1,4.373446843E-1,2.855184654E2,7.455111025E0,5.262630284E0
1.381901089E2,6.505969886E1,2.546658598E1,2.853837025E1,3.730398657E-1,2.855184705E2,7.410526606E0,5.442846485E0
1.391895452E2,6.505969007E1,2.546658273E1,2.816957359E1,2.618487577E-1,2.855184654E2,7.244272679E0,5.636533067E0
1.401890193E2,6.505968761E1,2.546657132E1,2.791939780E1,3.044424020E-1,2.855184541E2,7.154354619E0,5.696000136E0
1.411885122E2,6.505967787E1,2.546657552E1,2.786401326E1,1.687615991E-1,2.855184558E2,7.230149595E0,5.475055888E0
1.421880386E2,6.505966692E1,2.546656750E1,2.767590192E1,1.959985173E-1,2.855184457E2,7.241221081E0,5.283051668E0
1.431876044E2,6.505965707E1,2.546653575E1,2.712094849E1,5.724353825E-1,2.745078166E2,7.093789715E0,5.136225885E0
1.441871907E2,6.505964824E1,2.546651849E1,2.744804760E1,5.450105422E-1,2.442949026E2,7.022405497E0,5.436168018E0
1.451868030E2,6.505964238E1,2.546650630E1,2.706335747E1,4.355086626E-1,2.111506416E2,6.987182333E0,5.463841892E0
1.461864469E2,6.505963242E1,2.546647733E1,2.661331197E1,7.870554212E-1,2.195797364E2,6.860864645E0,5.347357972E0
1.471861076E2,6.505962403E1,2.546645768E1,2.665260774E1,8.390394688E-1,2.231645694E2,6.863146807E0,5.388550236E0
1.481857935E2,6.505962410E1,2.546644422E1,2.669889058E1,7.245328864E-1,2.280739424E2,6.855657832E0,4.857779272E0
1.491855013E2,6.505961174E1,2.546643511E1,2.625905753E1,7.675492608E-1,2.220438972E2,6.925948437E0,4.546022026E0
1.501852268E2,6.505959109E1,2.546640280E1,2.570042102E1,1.152570706E0,2.193618305E2,7.078225239E0,4.551958768E0
1.511849772E2,6.505957590E1,2.546638878E1,2.607129225E1,1.200281636E0,2.156286449E2,6.921889722E0,4.086311273E0
1.521847415E2,6.505957530E1,2.546638802E1,2.495477267E1,8.348365694E-1,2.186304654E2,6.891273572E0,3.798547331E0
1.531845199E2,6.505954262E1,2.546638128E1,2.481803568E1,1.237220386E0,2.089305724E2,6.746375735E0,3.909977107E0
1.541843107E2,6.505951245E1,2.546636977E1,2.448972363E1,1.455086934E0,2.034289414E2,6.722422167E0,3.903880903E0
1.551841191E2,6.505950717E1,2.546634545E1,2.468310167E1,1.401816892E0,2.087199244E2,6.673449651E0,3.792710071E0
1.561839364E2,6.505949402E1,2.546632797E1,2.407788615E1,1.250119181E0,2.086551102E2,6.629938922E0,4.061944068E0
1.571837646E2,6.505948390E1,2.546631786E1,2.407128796E1,1.015300961E0,2.074894478E2,6.470051217E0,4.232388394E0
1.581836047E2,6.505947516E1,2.546631155E1,2.353641745E1,9.306760622E-1,2.040861548E2,6.439827439E0,4.007358846E0
