"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.930416875E0,-3.696630201E-1,-6.701903164E-1,-7.269819832E-1
2.940402875E0,-5.651687685E-1,-6.336627603E-1,-8.312974799E-1
2.950388875E0,-7.132834187E-1,-5.238488343E-1,-9.767633414E-1
2.960374000E0,-7.730960494E-1,-4.128873923E-1,-1.091728372E0
2.970360000E0,-7.575503495E-1,-2.795489484E-1,-1.137379339E0
2.980346000E0,-6.864879683E-1,-1.327879286E-1,-9.614027059E-1
2.990332000E0,-5.068577027E-1,3.127968013E-3,-5.796105140E-1
3.000318000E0,-2.787899798E-1,3.707514793E-2,-1.021461797E-1
3.010304000E0,-1.369885683E-2,2.417326659E-2,5.547955155E-1
3.020290000E0,1.901306954E-1,2.537399232E-2,1.266618592E0
3.030276000E0,2.973119125E-1,-3.518912852E-2,1.840297106E0
3.040263000E0,2.562837544E-1,-1.053329122E-1,2.036056623E0
3.050249000E0,7.559601992E-2,-2.167057058E-1,2.032197461E0
3.060235000E0,-2.079796135E-2,-3.869038278E-1,1.876089667E0
3.070221000E0,-1.293673074E-1,-5.772377139E-1,1.704932309E0
3.080207000E0,-1.840332189E-1,-7.536938184E-1,1.557407643E0
3.090193000E0,-8.306320667E-2,-8.832812735E-1,1.353614051E0
3.100179000E0,2.313842636E-1,-9.362348279E-1,1.099572412E0
3.110165000E0,5.427254006E-1,-8.714786687E-1,8.139002591E-1
3.120151000E0,7.532924071E-1,-7.871670815E-1,5.458574617E-1
3.130137000E0,9.908431444E-1,-7.265843725E-1,2.821000886E-1
3.140123000E0,1.112379568E0,-6.364241078E-1,-8.600611031E-2
3.150109000E0,1.052759311E0,-5.204425389E-1,-4.481376243E-1
3.160095000E0,1.025942518E0,-3.798702121E-1,-7.589013487E-1
3.170082000E0,1.086775780E0,-2.696534130E-1,-1.132738988E0
3.180068000E0,1.090158979E0,-1.102741018E-1,-1.423440331E0
3.190054000E0,9.763964286E-1,8.269307792E-2,-1.492339243E0
3.200040000E0,9.035012376E-1,1.783517718E-1,-1.368234429E0
3.210026000E0,8.766069692E-1,1.671441212E-1,-1.108421588E0
3.220012000E0,8.110055950E-1,1.003028449E-1,-8.351203895E-1
3.229998000E0,7.740362817E-1,1.477299035E-2,-6.447046423E-1
3.239984000E0,7.193890813E-1,-3.227224499E-2,-5.394220161E-1
3.249970000E0,6.675491291E-1,-1.831026345E-2,-5.359628034E-1
3.259956000E0,6.536467892E-1,8.118946642E-2,-5.114875281E-1
3.269942000E0,7.035179839E-1,1.856315553E-1,-4.909626317E-1
